city,city_ascii,lat,lng,country,iso2,admin_name
La Massana,La Massana,42.5444,1.5144,Andorra,AD,La Massana
Ordino,Ordino,42.555,1.5331,Andorra,AD,Ordino
Escaldes-Engordany,Escaldes-Engordany,42.5089,1.5408,Andorra,AD,Escaldes-Engordany
Sant Julià de Lòria,Sant Julia de Loria,42.465,1.4911,Andorra,AD,Sant Julia de Loria
Encamp,Encamp,42.5361,1.5828,Andorra,AD,Encamp
Andorra la Vella,Andorra la Vella,42.5,1.5,Andorra,AD,Andorra la Vella
Canillo,Canillo,42.5667,1.6,Andorra,AD,Canillo
Madīnat Zāyid,Madinat Zayid,23.6522,53.6536,United Arab Emirates,AE,Abu Z̧aby
Al Jazīrah al Ḩamrā’,Al Jazirah al Hamra',25.7089,55.7972,United Arab Emirates,AE,Ra’s al Khaymah
Sharjah,Sharjah,25.3575,55.3908,United Arab Emirates,AE,Ash Shariqah
Khawr Fakkān,Khawr Fakkan,25.3333,56.35,United Arab Emirates,AE,Ash Shariqah
Al ‘Ayn,Al `Ayn,24.2075,55.7447,United Arab Emirates,AE,Abu Z̧aby
Al Fujayrah,Al Fujayrah,25.1222,56.3344,United Arab Emirates,AE,Al Fujayrah
Kalbā,Kalba,25.0742,56.3553,United Arab Emirates,AE,Ash Shariqah
‘Ajmān,`Ajman,25.4136,55.4456,United Arab Emirates,AE,‘Ajman
Abu Dhabi,Abu Dhabi,24.4667,54.3667,United Arab Emirates,AE,Abu Z̧aby
Umm al Qaywayn,Umm al Qaywayn,25.5533,55.5475,United Arab Emirates,AE,Umm al Qaywayn
Ra’s al Khaymah,Ra's al Khaymah,25.7667,55.95,United Arab Emirates,AE,Ra’s al Khaymah
Dubai,Dubai,25.2631,55.2972,United Arab Emirates,AE,Dubayy
Nīlī,Nili,33.7218,66.1302,Afghanistan,AF,Daykundī
Ghaznī,Ghazni,33.5492,68.4233,Afghanistan,AF,Ghaznī
Maḩmūd-e Rāqī,Mahmud-e Raqi,35.0206,69.3306,Afghanistan,AF,Kapīsa
Khulm,Khulm,36.6833,67.6833,Afghanistan,AF,Balkh
Balkh,Balkh,36.7581,66.8981,Afghanistan,AF,Balkh
Maīmanah,Maimanah,35.9333,64.75,Afghanistan,AF,Faryab
Zaṟah Sharan,Zarah Sharan,33.13,68.78,Afghanistan,AF,Paktīka
Kushk,Kushk,33.2956,61.9522,Afghanistan,AF,Herat
Haskah Mēnah,Haskah Menah,34.1,70.4667,Afghanistan,AF,Nangarhar
Maīdān Shahr,Maidan Shahr,34.3972,68.8697,Afghanistan,AF,Wardak
Fayrōz Kōh,Fayroz Koh,34.5225,65.2517,Afghanistan,AF,Ghōr
